group_id,action,reason,merged_rows,agency,line_item,value_label,fiscal_year,amount,pages,section_variants,program_variants,notes
57,merged,exact_duplicate,2,General Fund / Statewide,"Section 35 of PA 25-168, the FY 26 and FY 27 Biennial Budget, carryforward $258 million in unexpended balances from various FY 25 General Fund accounts to fund requirement for the Reserve for Salary Adjustments in FY 26 and FY 27 and to the State Comptroller - Fringe Benefits, for State Employees Health Services Costs in FY 26. Provide funding of $291,600 in FY 26 and $482,500 in FY 27 to reflect current requirements for fringe benefit costs associated with net position changes. Provide funding of $122 million in FY 26 for State Employee Health Services costs. Totals Governor Recommended Legislative Difference from Governor Budget Components FY 26 FY 27 FY 26 FY 27 FY 26 FY 27 FY 25 Appropriation - GF 3,392,576,245 3,392,576,245 3,392,576,245 3,392,576,245 - - Policy Revisions (4,590,000) (74,000,900) (119,390,695) (63,091,348) (114,800,695) 10,909,552 Current Services 127,302,193 331,592,207 120,593,405 331,592,207 (6,708,788) - Total Recommended - GF 3,515,288,438 3,650,167,552 3,393,778,955 3,661,077,104 (121,509,483) 10,909,552 FY 25 Appropriation - TF 263,093,929 263,093,929 263,093,929 263,093,929 - - Policy Revisions 149,500 (2,521,100) 293,500 (2,233,100) 144,000 288,000 Current Services 4,103,414 2,248,690 (1,690,186) (6,791,210) (5,793,600) (9,039,900) Total Recommended - TF 267,346,843 262,821,519 261,697,243 254,069,619 (5,649,600) (8,751,900) 66",FY,,27.0,67,General Table,General Table,Identical rows collapsed
58,merged,exact_duplicate,2,General Fund / Statewide,Unspecified,FY,,27.0,70,General Table,General Table,Identical rows collapsed
59,merged,exact_duplicate,2,General Fund / Statewide,Unspecified,Actual FY 23,2023,0.0,71,General Table,General Table,Identical rows collapsed
60,merged,exact_duplicate,2,General Fund / Statewide,Unspecified,Actual FY 24,2024,0.0,71,General Table,General Table,Identical rows collapsed
61,merged,exact_duplicate,2,General Fund / Statewide,Unspecified,Appropriation FY 25,2025,0.0,71,General Table,General Table,Identical rows collapsed
62,merged,exact_duplicate,2,General Fund / Statewide,Unspecified,Governor Recommended,,26.0,71,General Table,General Table,Identical rows collapsed
63,merged,exact_duplicate,2,General Fund / Statewide,Unspecified,FY,,27.0,71,General Table,General Table,Identical rows collapsed
64,merged,exact_duplicate,2,General Fund / Statewide,Unspecified,Legislative,,26.0,71,General Table,General Table,Identical rows collapsed
65,merged,exact_duplicate,2,General Fund / Statewide,Unspecified,60 million in,,27.0,71,General Table,General Table,Identical rows collapsed
66,merged,exact_duplicate,2,General Fund / Statewide,"Transfer $60,000 from PS in the General Fund to the Justice Assistance Grants in FY 25 to meet match requirements for Justice Assistance Grants. Same as Governor Totals Governor Recommended Legislative Difference from Governor Budget Components FY 26 FY 27 FY 26 FY 27 FY 26 FY 27 FY 25 Appropriation - GF 112,885,758 112,885,758 112,885,758 112,885,758 - - Policy Revisions 23,988,500 118,988,500 48,784,400 151,248,400 24,795,900 32,259,900 Current Services (52,665,594) (52,665,594) (52,665,594) (52,665,594) - - Total Recommended - GF 84,208,664 179,208,664 109,004,564 211,468,564 24,795,900 32,259,900 FY 25 Appropriation - TF 740,945 740,945 740,945 740,945 - - Current Services 29,553 29,553 29,553 29,553 - - Total Recommended - TF 770,498 770,498 770,498 770,498 - - FY 25 Appropriation - IF 646,150 646,150 646,150 646,150 - - Current Services 11,031 11,031 11,031 11,031 - - Total Recommended - IF 657,181 657,181 657,181 657,181 - - FY 25 Appropriation - PF 392,665 392,665 392,665 392,665 - - Current Services 5,805 5,805 5,805 5,805 - - Total Recommended - PF 398,470 398,470 398,470 398,470 - - FY 25 Appropriation - MRSF 568,645,047 568,645,047 568,645,047 568,645,047 - - Policy Revisions - - 5,100,000 5,100,000 5,100,000 5,100,000 Current Services (14,335,373) (14,335,373) (14,335,373) (14,335,373) - - Total Recommended - MRSF 554,309,674 554,309,674 559,409,674 559,409,674 5,100,000 5,100,000 Governor Recommended Legislative Difference from Governor Positions FY 26 FY 27 FY 26 FY 27 FY 26 FY 27 FY 25 Appropriation - GF 188 188 188 188 - - Policy Revisions - - 3 3 3 3 Total Recommended - GF 188 188 191 191 3 3 77",FY,,27.0,78,General Table,General Table,Identical rows collapsed
67,merged,exact_duplicate,2,General Fund / Statewide,Reserve For Salary Adjustments,Actual FY 23,2023,0.0,79,General Table,General Table,Identical rows collapsed
68,merged,exact_duplicate,2,General Fund / Statewide,Unspecified,Actual FY 23,2023,0.0,81,General Table,General Table,Identical rows collapsed
69,merged,exact_duplicate,2,General Fund / Statewide,Unspecified,Actual FY 24,2024,0.0,81,General Table,General Table,Identical rows collapsed
70,merged,exact_duplicate,2,General Fund / Statewide,Unspecified,Appropriation FY 25,2025,0.0,81,General Table,General Table,Identical rows collapsed
71,merged,exact_duplicate,2,General Fund / Statewide,Unspecified,Governor Recommended,,26.0,81,General Table,General Table,Identical rows collapsed
72,merged,exact_duplicate,2,General Fund / Statewide,Unspecified,FY,,27.0,81,General Table,General Table,Identical rows collapsed
