agency,section,program,line_item,value_label,fiscal_year,amount,page
General Fund / Statewide,General Table,General Table,Judicial & Corrections Department of Children and Families All,FY 2026,2026,0.0,352
General Fund / Statewide,General Table,General Table,Judicial & Corrections Department of Correction All,Policy,,758099803.0,352
General Fund / Statewide,General Table,General Table,Judicial & Corrections Department of Correction All,n FY 2027.,2027,2.8,352
General Fund / Statewide,General Table,General Table,Judicial & Corrections Department of Correction All,FY 2026,2026,2.7,352
General Fund / Statewide,General Table,General Table,"Judicial & Corrections Division of Criminal Justice All, except Fringe Benefits (WF)",Policy,,66761231.0,352
General Fund / Statewide,General Table,General Table,"Judicial & Corrections Division of Criminal Justice All, except Fringe Benefits (WF)",n FY 2027.,2027,0.2,352
General Fund / Statewide,General Table,General Table,"Judicial & Corrections Division of Criminal Justice All, except Fringe Benefits (WF)",FY 2026,2026,0.2,352
General Fund / Statewide,General Table,General Table,Judicial & Corrections Judicial Department All,Policy,,644979995.0,352
General Fund / Statewide,General Table,General Table,Judicial & Corrections Judicial Department All,n FY 2027.,2027,2.4,352
General Fund / Statewide,General Table,General Table,Judicial & Corrections Judicial Department All,FY 2026,2026,2.3,352
General Fund / Statewide,General Table,General Table,Judicial & Corrections Office of Governmental Accountability All,Policy,,790799.0,352
General Fund / Statewide,General Table,General Table,Judicial & Corrections Office of Governmental Accountability All,n FY 2027.,2027,0.0,352
General Fund / Statewide,General Table,General Table,Judicial & Corrections Office of Governmental Accountability All,FY 2026,2026,0.0,352
General Fund / Statewide,General Table,General Table,Judicial & Corrections Public Defender Services Commission All,Policy,,100441966.0,352
General Fund / Statewide,General Table,General Table,Judicial & Corrections Public Defender Services Commission All,n FY 2027.,2027,0.4,352
General Fund / Statewide,General Table,General Table,Judicial & Corrections Public Defender Services Commission All,FY 2026,2026,0.4,352
General Fund / Statewide,General Table,General Table,Judicial & Corrections Judicial & Corrections Total,Policy,,1571573794.0,352
General Fund / Statewide,General Table,General Table,Judicial & Corrections Judicial & Corrections Total,n FY 2027.,2027,5.8,352
General Fund / Statewide,General Table,General Table,Judicial & Corrections Judicial & Corrections Total,FY 2026,2026,5.5,352
General Fund / Statewide,General Table,General Table,Judicial & Corrections Other Government Services,Policy,,0.0,352
General Fund / Statewide,General Table,General Table,Judicial & Corrections Other Government Services,n FY 2027.,2027,0.0,352
General Fund / Statewide,General Table,General Table,Judicial & Corrections Other Government Services,FY 2026,2026,0.0,352
General Fund / Statewide,General Table,General Table,Judicial & Corrections Agricultural Experiment Station All,Policy,,9594079.0,352
General Fund / Statewide,General Table,General Table,Judicial & Corrections Agricultural Experiment Station All,n FY 2027.,2027,0.0,352
General Fund / Statewide,General Table,General Table,Judicial & Corrections Agricultural Experiment Station All,FY 2026,2026,0.0,352
General Fund / Statewide,General Table,General Table,Judicial & Corrections Attorney General All,Policy,,41626302.0,352
General Fund / Statewide,General Table,General Table,Judicial & Corrections Attorney General All,n FY 2027.,2027,0.2,352
General Fund / Statewide,General Table,General Table,Judicial & Corrections Attorney General All,FY 2026,2026,0.1,352
General Fund / Statewide,General Table,General Table,Judicial & Corrections Auditors of Public Accounts All,Policy,,15853688.0,352
General Fund / Statewide,General Table,General Table,Judicial & Corrections Auditors of Public Accounts All,n FY 2027.,2027,0.1,352
General Fund / Statewide,General Table,General Table,Judicial & Corrections Auditors of Public Accounts All,FY 2026,2026,0.1,352
General Fund / Statewide,General Table,General Table,Judicial & Corrections Commission on Human Rights and Opportunities All,Policy,,9217787.0,352
General Fund / Statewide,General Table,General Table,Judicial & Corrections Commission on Human Rights and Opportunities All,n FY 2027.,2027,0.0,352
General Fund / Statewide,General Table,General Table,Judicial & Corrections Commission on Human Rights and Opportunities All,FY 2026,2026,0.0,352
General Fund / Statewide,General Table,General Table,General Table,Policy,,1187850.0,352
General Fund / Statewide,General Table,General Table,General Table,n FY 2027.,2027,0.0,352
General Fund / Statewide,General Table,General Table,General Table,FY 2026,2026,0.0,352
General Fund / Statewide,General Table,General Table,General Table,Policy,,258134955.0,352
General Fund / Statewide,General Table,General Table,General Table,n FY 2027.,2027,0.9,352
General Fund / Statewide,General Table,General Table,General Table,FY 2026,2026,0.9,352
General Fund / Statewide,General Table,General Table,Judicial & Corrections Department of Agriculture All,Policy,,8553102.0,352
General Fund / Statewide,General Table,General Table,Judicial & Corrections Department of Agriculture All,n FY 2027.,2027,0.0,352
General Fund / Statewide,General Table,General Table,Judicial & Corrections Department of Agriculture All,FY 2026,2026,0.0,352
General Fund / Statewide,General Table,General Table,"Judicial & Corrections Department of Banking All, except Fringe Benefits (BF)",Policy,,18303897.0,352
General Fund / Statewide,General Table,General Table,"Judicial & Corrections Department of Banking All, except Fringe Benefits (BF)",n FY 2027.,2027,0.1,352
General Fund / Statewide,General Table,General Table,"Judicial & Corrections Department of Banking All, except Fringe Benefits (BF)",FY 2026,2026,0.1,352
General Fund / Statewide,General Table,General Table,Judicial & Corrections Department of Consumer Protection All,Policy,,22500205.0,352
General Fund / Statewide,General Table,General Table,Judicial & Corrections Department of Consumer Protection All,n FY 2027.,2027,0.1,352
General Fund / Statewide,General Table,General Table,Judicial & Corrections Department of Consumer Protection All,FY 2026,2026,0.1,352
General Fund / Statewide,General Table,General Table,Judicial & Corrections Department of Economic and Community Development All,Policy,,68672637.0,352
General Fund / Statewide,General Table,General Table,Judicial & Corrections Department of Economic and Community Development All,n FY 2027.,2027,0.3,352
General Fund / Statewide,General Table,General Table,Judicial & Corrections Department of Economic and Community Development All,FY 2026,2026,0.2,352
General Fund / Statewide,General Table,General Table,Judicial & Corrections Department of Emergency Services and Public Protection All,Policy,,233924650.0,352
General Fund / Statewide,General Table,General Table,Judicial & Corrections Department of Emergency Services and Public Protection All,n FY 2027.,2027,0.9,352
General Fund / Statewide,General Table,General Table,Judicial & Corrections Department of Emergency Services and Public Protection All,FY 2026,2026,0.8,352
General Fund / Statewide,General Table,General Table,General Table,Policy,,81497302.0,352
General Fund / Statewide,General Table,General Table,General Table,n FY 2027.,2027,0.3,352
General Fund / Statewide,General Table,General Table,General Table,FY 2026,2026,0.3,352
General Fund / Statewide,General Table,General Table,Judicial & Corrections Department of Housing All,Policy,,130554195.0,352
General Fund / Statewide,General Table,General Table,Judicial & Corrections Department of Housing All,n FY 2027.,2027,0.5,352
General Fund / Statewide,General Table,General Table,Judicial & Corrections Department of Housing All,FY 2026,2026,0.5,352
General Fund / Statewide,General Table,General Table,Judicial & Corrections Department of Revenue Services All,Policy,,59703562.0,352
General Fund / Statewide,General Table,General Table,Judicial & Corrections Department of Revenue Services All,n FY 2027.,2027,0.2,352
General Fund / Statewide,General Table,General Table,Judicial & Corrections Department of Revenue Services All,FY 2026,2026,0.2,352
General Fund / Statewide,General Table,General Table,Judicial & Corrections Department of Veterans' Affairs All,Policy,,245047.0,352
General Fund / Statewide,General Table,General Table,Judicial & Corrections Department of Veterans' Affairs All,n FY 2027.,2027,0.0,352
General Fund / Statewide,General Table,General Table,Judicial & Corrections Department of Veterans' Affairs All,FY 2026,2026,0.0,352
General Fund / Statewide,General Table,General Table,Other Government Services All,Policy,,4257796.0,353
General Fund / Statewide,General Table,General Table,Other Government Services All,n FY 2027.,2027,0.0,353
General Fund / Statewide,General Table,General Table,Other Government Services All,FY 2026,2026,0.0,353
General Fund / Statewide,General Table,General Table,Other Government Services Freedom of Information Commission All,Policy,,2283813.0,353
General Fund / Statewide,General Table,General Table,Other Government Services Freedom of Information Commission All,n FY 2027.,2027,0.0,353
General Fund / Statewide,General Table,General Table,Other Government Services Freedom of Information Commission All,FY 2026,2026,0.0,353
General Fund / Statewide,General Table,General Table,Other Government Services Governor's Office All,Policy,,4734840.0,353
General Fund / Statewide,General Table,General Table,Other Government Services Governor's Office All,n FY 2027.,2027,0.0,353
General Fund / Statewide,General Table,General Table,Other Government Services Governor's Office All,FY 2026,2026,0.0,353
General Fund / Statewide,General Table,General Table,"Other Government Services Insurance Department All, except Fringe Benefits (IF)",Policy,,20695543.0,353
General Fund / Statewide,General Table,General Table,"Other Government Services Insurance Department All, except Fringe Benefits (IF)",n FY 2027.,2027,0.1,353
General Fund / Statewide,General Table,General Table,"Other Government Services Insurance Department All, except Fringe Benefits (IF)",FY 2026,2026,0.1,353
General Fund / Statewide,General Table,General Table,Other Government Services Labor Department All,Policy,,89006350.0,353
General Fund / Statewide,General Table,General Table,Other Government Services Labor Department All,n FY 2027.,2027,0.3,353
General Fund / Statewide,General Table,General Table,Other Government Services Labor Department All,FY 2026,2026,0.3,353
General Fund / Statewide,General Table,General Table,Other Government Services Legislative Management All,Policy,,93416883.0,353
General Fund / Statewide,General Table,General Table,Other Government Services Legislative Management All,n FY 2027.,2027,0.3,353
General Fund / Statewide,General Table,General Table,Other Government Services Legislative Management All,FY 2026,2026,0.3,353
General Fund / Statewide,General Table,General Table,Other Government Services Lieutenant Governor's Office All,Policy,,911921.0,353
General Fund / Statewide,General Table,General Table,Other Government Services Lieutenant Governor's Office All,n FY 2027.,2027,0.0,353
General Fund / Statewide,General Table,General Table,Other Government Services Lieutenant Governor's Office All,FY 2026,2026,0.0,353
General Fund / Statewide,General Table,General Table,Other Government Services Military Department All,Policy,,6742315.0,353
General Fund / Statewide,General Table,General Table,Other Government Services Military Department All,n FY 2027.,2027,0.0,353
General Fund / Statewide,General Table,General Table,Other Government Services Military Department All,FY 2026,2026,0.0,353
General Fund / Statewide,General Table,General Table,"Other Government Services Office of Consumer Counsel All, except Fringe Benefits (PF)",Policy,,2910274.0,353
General Fund / Statewide,General Table,General Table,"Other Government Services Office of Consumer Counsel All, except Fringe Benefits (PF)",n FY 2027.,2027,0.0,353
General Fund / Statewide,General Table,General Table,"Other Government Services Office of Consumer Counsel All, except Fringe Benefits (PF)",FY 2026,2026,0.0,353
General Fund / Statewide,General Table,General Table,Other Government Services Office of Governmental Accountability All,Policy,,3032463.0,353
General Fund / Statewide,General Table,General Table,Other Government Services Office of Governmental Accountability All,n FY 2027.,2027,0.0,353
General Fund / Statewide,General Table,General Table,Other Government Services Office of Governmental Accountability All,FY 2026,2026,0.0,353
General Fund / Statewide,General Table,General Table,Other Government Services Office of Health Strategy All,Policy,,500000.0,353
General Fund / Statewide,General Table,General Table,Other Government Services Office of Health Strategy All,n FY 2027.,2027,0.0,353
General Fund / Statewide,General Table,General Table,Other Government Services Office of Health Strategy All,FY 2026,2026,0.0,353
General Fund / Statewide,General Table,General Table,General Table,Policy,,722308979.0,353
General Fund / Statewide,General Table,General Table,General Table,n FY 2027.,2027,2.6,353
General Fund / Statewide,General Table,General Table,General Table,FY 2026,2026,2.9,353
General Fund / Statewide,General Table,General Table,Other Government Services Office of State Ethics All,Policy,,2069345.0,353
General Fund / Statewide,General Table,General Table,Other Government Services Office of State Ethics All,n FY 2027.,2027,0.0,353
General Fund / Statewide,General Table,General Table,Other Government Services Office of State Ethics All,FY 2026,2026,0.0,353
General Fund / Statewide,General Table,General Table,General Table,Policy,,475000.0,353
General Fund / Statewide,General Table,General Table,General Table,n FY 2027.,2027,0.0,353
General Fund / Statewide,General Table,General Table,General Table,FY 2026,2026,0.0,353
General Fund / Statewide,General Table,General Table,"Other Government Services Office of the Healthcare Advocate All, except Fringe Benefits (IF)",Policy,,2425602.0,353
General Fund / Statewide,General Table,General Table,"Other Government Services Office of the Healthcare Advocate All, except Fringe Benefits (IF)",n FY 2027.,2027,0.0,353
General Fund / Statewide,General Table,General Table,"Other Government Services Office of the Healthcare Advocate All, except Fringe Benefits (IF)",FY 2026,2026,0.0,353
General Fund / Statewide,General Table,General Table,Other Government Services Secretary of the State All,Policy,,17044732.0,353
General Fund / Statewide,General Table,General Table,Other Government Services Secretary of the State All,n FY 2027.,2027,0.1,353
General Fund / Statewide,General Table,General Table,Other Government Services Secretary of the State All,FY 2026,2026,0.1,353
General Fund / Statewide,General Table,General Table,Other Government Services State Comptroller All,Policy,,48895063.0,353
General Fund / Statewide,General Table,General Table,Other Government Services State Comptroller All,n FY 2027.,2027,0.2,353
General Fund / Statewide,General Table,General Table,Other Government Services State Comptroller All,FY 2026,2026,0.2,353
General Fund / Statewide,General Table,General Table,Other Government Services State Comptroller - Miscellaneous All,Policy,,0.0,353
General Fund / Statewide,General Table,General Table,Other Government Services State Comptroller - Miscellaneous All,n FY 2027.,2027,0.0,353
General Fund / Statewide,General Table,General Table,Other Government Services State Comptroller - Miscellaneous All,FY 2026,2026,0.2,353
General Fund / Statewide,General Table,General Table,Other Government Services State Treasurer All,Policy,,3902910.0,353
General Fund / Statewide,General Table,General Table,Other Government Services State Treasurer All,n FY 2027.,2027,0.0,353
General Fund / Statewide,General Table,General Table,Other Government Services State Treasurer All,FY 2026,2026,0.0,353
General Fund / Statewide,General Table,General Table,Other Government Services Workers' Compensation Claims - Administrative Services All,Policy,,5732213.0,353
General Fund / Statewide,General Table,General Table,Other Government Services Workers' Compensation Claims - Administrative Services All,n FY 2027.,2027,0.0,353
General Fund / Statewide,General Table,General Table,Other Government Services Workers' Compensation Claims - Administrative Services All,FY 2026,2026,0.0,353
General Fund / Statewide,General Table,General Table,"Other Government Services Workers' Compensation Commission All, except Fringe Benefits (WF)",Policy,,13904218.0,353
General Fund / Statewide,General Table,General Table,"Other Government Services Workers' Compensation Commission All, except Fringe Benefits (WF)",n FY 2027.,2027,0.1,353
General Fund / Statewide,General Table,General Table,"Other Government Services Workers' Compensation Commission All, except Fringe Benefits (WF)",FY 2026,2026,0.0,353
General Fund / Statewide,General Table,General Table,Other Government Services Other Government Services Total,Policy,,2004819518.0,353
General Fund / Statewide,General Table,General Table,Other Government Services Other Government Services Total,n FY 2027.,2027,7.3,353
General Fund / Statewide,General Table,General Table,Other Government Services Other Government Services Total,FY 2026,2026,7.7,353
General Fund / Statewide,General Table,General Table,Transportation Department of Motor Vehicles All,Policy,,77570955.0,354
General Fund / Statewide,General Table,General Table,Transportation Department of Motor Vehicles All,FY 2026,2026,0.0,354
General Fund / Statewide,General Table,General Table,Transportation Department of Motor Vehicles All,n FY 2027.,2027,0.3,354
General Fund / Statewide,General Table,General Table,Transportation Department of Motor Vehicles All,FY 2026 %,2026,0.0,354
General Fund / Statewide,General Table,General Table,Transportation Department of Motor Vehicles All,FY 2027,2027,0.0,354
General Fund / Statewide,General Table,General Table,Transportation Department of Motor Vehicles All,FY 2026,2026,0.3,354
General Fund / Statewide,General Table,General Table,Transportation Department of Motor Vehicles All,FY 2027 %,2027,0.0,354
General Fund / Statewide,General Table,General Table,Transportation Department of Transportation All,Policy,,993548048.0,354
General Fund / Statewide,General Table,General Table,Transportation Department of Transportation All,FY 2026,2026,0.0,354
General Fund / Statewide,General Table,General Table,Transportation Department of Transportation All,n FY 2027.,2027,3.6,354
General Fund / Statewide,General Table,General Table,Transportation Department of Transportation All,FY 2026 %,2026,0.0,354
General Fund / Statewide,General Table,General Table,Transportation Department of Transportation All,FY 2027,2027,0.0,354
General Fund / Statewide,General Table,General Table,Transportation Department of Transportation All,FY 2026,2026,3.5,354
General Fund / Statewide,General Table,General Table,Transportation Department of Transportation All,FY 2027 %,2027,0.0,354
General Fund / Statewide,General Table,General Table,Transportation Transportation Total,Policy,,1071119003.0,354
General Fund / Statewide,General Table,General Table,Transportation Transportation Total,FY 2026,2026,0.0,354
General Fund / Statewide,General Table,General Table,Transportation Transportation Total,n FY 2027.,2027,3.9,354
General Fund / Statewide,General Table,General Table,Transportation Transportation Total,FY 2026 %,2026,0.0,354
General Fund / Statewide,General Table,General Table,Transportation Transportation Total,FY 2027,2027,0.0,354
General Fund / Statewide,General Table,General Table,Transportation Transportation Total,FY 2026,2026,3.8,354
General Fund / Statewide,General Table,General Table,Transportation Transportation Total,FY 2027 %,2027,0.0,354
General Fund / Statewide,General Table,General Table,Agency TOTAL GROSS APPROPRIATIONS,Policy,,0.0,354
General Fund / Statewide,General Table,General Table,Agency TOTAL GROSS APPROPRIATIONS,FY 2026,2026,27286723517.0,354
General Fund / Statewide,General Table,General Table,Agency TOTAL GROSS APPROPRIATIONS,n FY 2027.,2027,0.0,354
General Fund / Statewide,General Table,General Table,Agency TOTAL GROSS APPROPRIATIONS,FY 2026 %,2026,100.0,354
General Fund / Statewide,General Table,General Table,Agency TOTAL GROSS APPROPRIATIONS,FY 2027,2027,28740793821.0,354
General Fund / Statewide,General Table,General Table,Agency TOTAL GROSS APPROPRIATIONS,FY 2026,2026,0.0,354
General Fund / Statewide,General Table,General Table,Agency TOTAL GROSS APPROPRIATIONS,FY 2027 %,2027,100.0,354
General Fund / Statewide,General Table,General Table,Transportation Lapses,Policy,,0.0,354
General Fund / Statewide,General Table,General Table,Transportation Lapses,FY 2026,2026,0.0,354
General Fund / Statewide,General Table,General Table,Transportation Lapses,n FY 2027.,2027,0.0,354
General Fund / Statewide,General Table,General Table,Transportation Lapses,FY 2026 %,2026,0.0,354
General Fund / Statewide,General Table,General Table,Transportation Lapses,FY 2027,2027,0.0,354
General Fund / Statewide,General Table,General Table,Transportation Lapses,FY 2027 %,2027,0.0,354
General Fund / Statewide,General Table,General Table,Transportation Unallocated Lapse All,Policy,,-106229262.0,354
General Fund / Statewide,General Table,General Table,Transportation Unallocated Lapse All,FY 2026,2026,0.0,354
General Fund / Statewide,General Table,General Table,Transportation Unallocated Lapse All,n FY 2027.,2027,0.0,354
General Fund / Statewide,General Table,General Table,Transportation Unallocated Lapse All,FY 2026 %,2026,0.0,354
General Fund / Statewide,General Table,General Table,Transportation Unallocated Lapse All,FY 2027,2027,0.0,354
General Fund / Statewide,General Table,General Table,Transportation Unallocated Lapse All,FY 2027 %,2027,0.0,354
General Fund / Statewide,General Table,General Table,Transportation Lapses Total,Policy,,-106229262.0,354
General Fund / Statewide,General Table,General Table,Transportation Lapses Total,FY 2026,2026,0.0,354
General Fund / Statewide,General Table,General Table,Transportation Lapses Total,n FY 2027.,2027,0.0,354
General Fund / Statewide,General Table,General Table,Transportation Lapses Total,FY 2026 %,2026,0.0,354
General Fund / Statewide,General Table,General Table,Transportation Lapses Total,FY 2027,2027,0.0,354
General Fund / Statewide,General Table,General Table,Transportation Lapses Total,FY 2027 %,2027,0.0,354
General Fund / Statewide,General Table,General Table,Agency TOTAL NET APPROPRIATIONS,Policy,,0.0,354
General Fund / Statewide,General Table,General Table,Agency TOTAL NET APPROPRIATIONS,FY 2026,2026,27180494255.0,354
General Fund / Statewide,General Table,General Table,Agency TOTAL NET APPROPRIATIONS,n FY 2027.,2027,0.0,354
General Fund / Statewide,General Table,General Table,Agency TOTAL NET APPROPRIATIONS,FY 2026 %,2026,0.0,354
General Fund / Statewide,General Table,General Table,Agency TOTAL NET APPROPRIATIONS,FY 2027,2027,28635083251.0,354
General Fund / Statewide,General Table,General Table,Agency TOTAL NET APPROPRIATIONS,FY 2026,2026,0.0,354
General Fund / Statewide,General Table,General Table,Agency TOTAL NET APPROPRIATIONS,FY 2027 %,2027,0.0,354
General Fund / Statewide,General Table,General Table,General Table,60 million in,,-63710570.0,355
General Fund / Statewide,General Table,General Table,General Table,FY 2026,2026,0.0,355
General Fund / Statewide,General Table,General Table,General Table,Policy,,-73710570.0,355
General Fund / Statewide,General Table,General Table,General Table,FY 2027,2027,0.0,355
General Fund / Statewide,General Table,General Table,General Table,60 million in,,-5000000.0,355
General Fund / Statewide,General Table,General Table,General Table,FY 2026,2026,0.0,355
General Fund / Statewide,General Table,General Table,General Table,Policy,,-5000000.0,355
General Fund / Statewide,General Table,General Table,General Table,FY 2027,2027,0.0,355
General Fund / Statewide,General Table,General Table,General Table,60 million in,,-25518692.0,355
General Fund / Statewide,General Table,General Table,General Table,FY 2026,2026,0.0,355
General Fund / Statewide,General Table,General Table,General Table,Policy,,-15000000.0,355
General Fund / Statewide,General Table,General Table,General Table,FY 2027,2027,0.0,355
General Fund / Statewide,General Table,General Table,General Fund (GF) Lapses Total GF Lapses,60 million in,,-94229262.0,355
General Fund / Statewide,General Table,General Table,General Fund (GF) Lapses Total GF Lapses,FY 2026,2026,0.0,355
General Fund / Statewide,General Table,General Table,General Fund (GF) Lapses Total GF Lapses,Policy,,-93710570.0,355
General Fund / Statewide,General Table,General Table,General Fund (GF) Lapses Total GF Lapses,FY 2027,2027,0.0,355
General Fund / Statewide,General Table,General Table,General Fund (GF) Lapses Special Transportation Fund (STF) Lapses,60 million in,,0.0,355
General Fund / Statewide,General Table,General Table,General Fund (GF) Lapses Special Transportation Fund (STF) Lapses,FY 2026,2026,0.0,355
General Fund / Statewide,General Table,General Table,General Fund (GF) Lapses Special Transportation Fund (STF) Lapses,Policy,,0.0,355
General Fund / Statewide,General Table,General Table,General Fund (GF) Lapses Special Transportation Fund (STF) Lapses,FY 2027,2027,0.0,355
General Fund / Statewide,General Table,General Table,General Table,60 million in,,-12000000.0,355
General Fund / Statewide,General Table,General Table,General Table,FY 2026,2026,0.0,355
General Fund / Statewide,General Table,General Table,General Table,Policy,,-12000000.0,355
General Fund / Statewide,General Table,General Table,General Table,FY 2027,2027,0.0,355
General Fund / Statewide,General Table,General Table,General Fund (GF) Lapses Total STF Lapses,60 million in,,-12000000.0,355
General Fund / Statewide,General Table,General Table,General Fund (GF) Lapses Total STF Lapses,FY 2026,2026,0.0,355
General Fund / Statewide,General Table,General Table,General Fund (GF) Lapses Total STF Lapses,Policy,,-12000000.0,355
General Fund / Statewide,General Table,General Table,General Fund (GF) Lapses Total STF Lapses,FY 2027,2027,0.0,355
General Fund / Statewide,General Table,General Table,TOTAL LAPSES,60 million in,,0.0,355
General Fund / Statewide,General Table,General Table,TOTAL LAPSES,FY 2026,2026,-106229262.0,355
General Fund / Statewide,General Table,General Table,TOTAL LAPSES,Policy,,0.0,355
General Fund / Statewide,General Table,General Table,TOTAL LAPSES,FY 2027,2027,-105710570.0,355
General Fund / Statewide,General Table,General Table,Office of Governmental Accountability Office of the Child Advocate,millioni,,-40000.0,355
General Fund / Statewide,General Table,General Table,Office of Governmental Accountability Office of the Educational Ombudsperson,millioni,,-180000.0,355
General Fund / Statewide,General Table,General Table,Department of Administrative Services State Insurance and Risk Mgmt Operations,millioni,,-500000.0,355
General Fund / Statewide,General Table,General Table,Department of Administrative Services IT Services,millioni,,-1000000.0,355
General Fund / Statewide,General Table,General Table,Department of Emergency Services and Public Protection Law Enforcement Training Partnerships,millioni,,-78308.0,355
General Fund / Statewide,General Table,General Table,Military Department JEEP Program,millioni,,-169000.0,355
General Fund / Statewide,General Table,General Table,Department of Consumer Protection Other Expenses,millioni,,-15000.0,355
General Fund / Statewide,General Table,General Table,Labor Department Opportunities for Long Term Unemployed,millioni,,-500000.0,355
General Fund / Statewide,General Table,General Table,Labor Department Domestic Workers Education and Training Grant Program,millioni,,-200000.0,355
General Fund / Statewide,General Table,General Table,Commission on Human Rights and Opportunities Other Expenses,millioni,,-10000.0,356
General Fund / Statewide,General Table,General Table,Department of Agriculture Other Expenses,millioni,,-250000.0,356
General Fund / Statewide,General Table,General Table,Department of Energy and Environmental Protection Other Expenses,millioni,,-35000.0,356
General Fund / Statewide,General Table,General Table,Department of Energy and Environmental Protection Emergency Spill Response,millioni,,-500000.0,356
General Fund / Statewide,General Table,General Table,General Table,millioni,,-96000.0,356
General Fund / Statewide,General Table,General Table,Department of Economic and Community Development Other Expenses,millioni,,-1000000.0,356
General Fund / Statewide,General Table,General Table,Department of Public Health Public Health Response,millioni,,-868858.0,356
General Fund / Statewide,General Table,General Table,Department of Developmental Services Behavioral Services Program,millioni,,-1100000.0,356
General Fund / Statewide,General Table,General Table,Department of Developmental Services Supplemental Payments for Medical Services,millioni,,-300000.0,356
General Fund / Statewide,General Table,General Table,Department of Developmental Services Employment Opportunities and Day Services,millioni,,-632035.0,356
General Fund / Statewide,General Table,General Table,Department of Aging and Disability Services Other Expenses,millioni,,-50000.0,356
General Fund / Statewide,General Table,General Table,Department of Aging and Disability Services Employment Opportunities - Blind & Disabled,millioni,,-100000.0,356
General Fund / Statewide,General Table,General Table,Department of Aging and Disability Services Special Training for the Deaf Blind,millioni,,-50000.0,356
General Fund / Statewide,General Table,General Table,Department of Education Other Expenses,millioni,,-1202100.0,356
General Fund / Statewide,General Table,General Table,Department of Education Aspiring Educators Scholarship Program,millioni,,-2000000.0,356
General Fund / Statewide,General Table,General Table,Office of Higher Education Other Expenses,millioni,,-357976.0,356
General Fund / Statewide,General Table,General Table,Department of Children and Families Child Abuse and Neglect Intervention,millioni,,-100000.0,356
General Fund / Statewide,General Table,General Table,Department of Children and Families Community Based Prevention Programs,millioni,,-100000.0,356
General Fund / Statewide,General Table,General Table,Department of Children and Families Family Violence Outreach and Counseling,millioni,,-50000.0,356
General Fund / Statewide,General Table,General Table,Department of Children and Families Family Preservation Services,millioni,,-50000.0,356
General Fund / Statewide,General Table,General Table,Department of Children and Families Substance Abuse Treatment,millioni,,-100000.0,356
General Fund / Statewide,General Table,General Table,Department of Children and Families Child Welfare Support Services,millioni,,-50000.0,356
General Fund / Statewide,General Table,General Table,Unallocated Lapse - Subtotal,millioni,,-11684277.0,356
General Fund / Statewide,General Table,General Table,Unallocated Lapse - Judicial,millioni,,0.0,356
General Fund / Statewide,General Table,General Table,Judicial Department Personal Services,millioni,,-1871496.0,356
General Fund / Statewide,General Table,General Table,Judicial Department Alternative Incarceration Program,millioni,,-500000.0,356
General Fund / Statewide,General Table,General Table,Judicial Department Juvenile Alternative Incarceration,millioni,,-375000.0,356
General Fund / Statewide,General Table,General Table,Judicial Department Workers' Compensation Claims,millioni,,-350000.0,356
General Fund / Statewide,General Table,General Table,Judicial Department Youth Violence Initiative,millioni,,-27022.0,356
General Fund / Statewide,General Table,General Table,Judicial Department Youth Services Prevention,millioni,,-573122.0,356
General Fund / Statewide,General Table,General Table,Judicial Department Juvenile Justice Outreach Services,millioni,,-375000.0,356
General Fund / Statewide,General Table,General Table,Judicial Department Board and Care for Children - Short-term and Residential,millioni,,-250000.0,357
General Fund / Statewide,General Table,General Table,Judicial Department Board and Care for Children - Short-term and Residential,FY 2026,2026,0.0,357
General Fund / Statewide,General Table,General Table,Public Defender Services Commission Personal Services,millioni,,-340000.0,357
General Fund / Statewide,General Table,General Table,Public Defender Services Commission Personal Services,FY 2026,2026,0.0,357
General Fund / Statewide,General Table,General Table,Public Defender Services Commission Assigned Counsel - Criminal,millioni,,-338360.0,357
General Fund / Statewide,General Table,General Table,Public Defender Services Commission Assigned Counsel - Criminal,FY 2026,2026,0.0,357
General Fund / Statewide,General Table,General Table,Unallocated Lapse - Judicial Subtotal,millioni,,-5000000.0,357
General Fund / Statewide,General Table,General Table,Unallocated Lapse - Judicial Subtotal,FY 2026,2026,0.0,357
General Fund / Statewide,General Table,General Table,Targeted Savings,millioni,,0.0,357
General Fund / Statewide,General Table,General Table,Targeted Savings,FY 2026,2026,0.0,357
General Fund / Statewide,General Table,General Table,Department of Revenue Services Personal Services,millioni,,-1000000.0,357
General Fund / Statewide,General Table,General Table,Department of Revenue Services Personal Services,FY 2026,2026,0.0,357
General Fund / Statewide,General Table,General Table,Office of Policy and Management Personal Services,millioni,,-1000000.0,357
General Fund / Statewide,General Table,General Table,Office of Policy and Management Personal Services,FY 2026,2026,0.0,357
General Fund / Statewide,General Table,General Table,Department of Veterans' Affairs Personal Services,millioni,,-500000.0,357
General Fund / Statewide,General Table,General Table,Department of Veterans' Affairs Personal Services,FY 2026,2026,0.0,357
General Fund / Statewide,General Table,General Table,Department of Administrative Services Personal Services,millioni,,-1500000.0,357
General Fund / Statewide,General Table,General Table,Department of Administrative Services Personal Services,FY 2026,2026,0.0,357
General Fund / Statewide,General Table,General Table,Division of Criminal Justice Personal Services,millioni,,-3500000.0,357
General Fund / Statewide,General Table,General Table,Division of Criminal Justice Personal Services,FY 2026,2026,0.0,357
General Fund / Statewide,General Table,General Table,Department of Emergency Services and Public Protection Personal Services,millioni,,-200000.0,357
