source_document,page,subcommittee,agency,fund,account,row_type,actual_fy23,actual_fy24,appropriation_fy25,governor_fy26,governor_fy27,legislative_fy26,legislative_fy27
2025BB-20250827_FY26_FY27.pdf,68,General Government,,Fund,Cannabis Regulatory Fund,account,,7.0,7.0,,,7.0,7.0
2025BB-20250827_FY26_FY27.pdf,68,General Government,,Fund,Personal Services,account,48431719.0,47994787.0,61221998.0,55016204.0,55115172.0,54602016.0,54700984.0
2025BB-20250827_FY26_FY27.pdf,68,General Government,,Fund,Other Expenses,account,5361284.0,4063639.0,5117358.0,4617358.0,4617358.0,4617358.0,4617358.0
2025BB-20250827_FY26_FY27.pdf,68,General Government,,Fund,Agency Total - General Fund,account,53793003.0,52058426.0,66339356.0,59633562.0,59732530.0,59219374.0,59318342.0
2025BB-20250827_FY26_FY27.pdf,68,General Government,,Fund,Personal Services,account,,36892.0,484188.0,,,484188.0,484188.0
2025BB-20250827_FY26_FY27.pdf,68,General Government,,Fund,Regulatory Fund,account,,36892.0,484188.0,,,484188.0,484188.0
2025BB-20250827_FY26_FY27.pdf,68,General Government,,Fund,Total - Appropriated Funds,fund_total,53793003.0,52095318.0,66823544.0,59633562.0,59732530.0,59703562.0,59802530.0
2025BB-20250827_FY26_FY27.pdf,71,General Government,,Fund,General Fund,account,182.0,186.0,188.0,188.0,188.0,191.0,191.0
2025BB-20250827_FY26_FY27.pdf,71,General Government,,Fund,Special Transportation Fund,account,7.0,7.0,7.0,7.0,7.0,7.0,7.0
2025BB-20250827_FY26_FY27.pdf,71,General Government,,Fund,Insurance Fund,account,2.0,3.0,3.0,3.0,3.0,3.0,3.0
2025BB-20250827_FY26_FY27.pdf,71,General Government,,Fund,Utility Control Fund,account,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2025BB-20250827_FY26_FY27.pdf,71,General Government,,Fund,Personal Services,account,17815947.0,18286223.0,20450385.0,21021791.0,21021791.0,21379691.0,21379691.0
2025BB-20250827_FY26_FY27.pdf,71,General Government,,Fund,Other Expenses,account,1756965.0,1618432.0,1414922.0,1403422.0,1403422.0,6841422.0,3305422.0
2025BB-20250827_FY26_FY27.pdf,71,General Government,,Fund,Litigation Settlement Costs,account,21763.0,,,,,,
2025BB-20250827_FY26_FY27.pdf,71,General Government,,Fund,Data Base Link,account,6394.0,3100.0,20438.0,20438.0,20438.0,20438.0,20438.0
2025BB-20250827_FY26_FY27.pdf,71,General Government,,Fund,Justice Assistance Grants,account,786445.0,790664.0,800967.0,865967.0,865967.0,865967.0,865967.0
2025BB-20250827_FY26_FY27.pdf,71,General Government,,Fund,Tax Relief For Elderly Renters,account,24469300.0,24593798.0,25020226.0,25020226.0,25020226.0,25020226.0,25020226.0
2025BB-20250827_FY26_FY27.pdf,71,General Government,,Fund,Private Providers,account,,,53300000.0,31000000.0,126000000.0,50000000.0,156000000.0
2025BB-20250827_FY26_FY27.pdf,71,General Government,,Fund,Disability Exemption,account,364713.0,364713.0,364713.0,364713.0,364713.0,364713.0,364713.0
2025BB-20250827_FY26_FY27.pdf,71,General Government,,Fund,Distressed Municipalities,account,1500000.0,,1500000.0,1500000.0,1500000.0,1500000.0,1500000.0
2025BB-20250827_FY26_FY27.pdf,71,General Government,,Fund,Freeze Program,account,4000.0,5166.0,6000.0,4000.0,4000.0,4000.0,4000.0
2025BB-20250827_FY26_FY27.pdf,71,General Government,,Fund,Property Tax Relief for Veterans,account,1901434.0,1694614.0,2708107.0,2708107.0,2708107.0,2708107.0,2708107.0
2025BB-20250827_FY26_FY27.pdf,71,General Government,,Fund,Grants,account,36819135.0,,,,,,
2025BB-20250827_FY26_FY27.pdf,71,General Government,,Fund,Motor Vehicle Tax Grants,account,132216113.0,,,,,,
